Name,Column,Type,Tech,T1,T2,T3,pfee
Bay Loading Accelerator II,322,Rig,6,"77,396","77,396","77,396","20,200"
Bay Loading Accelerator III,323,Rig,8,"260,623","260,623","260,623","37,800"
Core Defense Operational Solidifier I,324,Rig,4,"13,877","13,877","13,877","4,600"
Core Defense Operational Solidifier II,325,Rig,6,"39,274","39,274","39,274","8,900"
Core Defense Operational Solidifier III,326,Rig,8,"110,472","110,472","110,472","19,000"
Core Defense Charge Economizer I,327,Rig,4,"23,151","23,151","23,151","8,200"
Core Defense Charge Economizer II,328,Rig,6,"59,538","59,538","59,538","15,300"
Core Defense Charge Economizer III,329,Rig,8,"200,840","200,840","200,840","31,700"
Core Defense Capacitor Safeguard I,330,Rig,4,"20,708","20,708","20,708","7,300"
Core Defense Capacitor Safeguard II,331,Rig,6,"51,330","51,330","51,330","13,300"
Core Defense Capacitor Safeguard III,332,Rig,8,"193,623","193,623","193,623","27,200"
Core Defense Field Extender I,333,Rig,4,"33,925","33,925","33,925","11,800"
Core Defense Field Extender II,334,Rig,6,"79,321","79,321","79,321","21,400"
Core Defense Field Extender III,335,Rig,8,"269,604","269,604","269,604","43,400"
Anti-Explosive Screen Reinforcer I,336,Rig,4,"23,151","23,151","23,151","8,200"
Anti-Explosive Screen Reinforcer II,337,Rig,6,"59,217","59,217","59,217","15,100"
Anti-Explosive Screen Reinforcer III,338,Rig,8,"200,519","200,519","200,519","31,500"
Anti-EM Screen Reinforcer I,339,Rig,4,"23,151","23,151","23,151","8,200"
Anti-EM Screen Reinforcer II,340,Rig,6,"59,217","59,217","59,217","15,100"
Anti-EM Screen Reinforcer III,341,Rig,8,"200,519","200,519","200,519","31,500"
Anti-Kinetic Screen Reinforcer I,342,Rig,4,"23,151","23,151","23,151","8,200"
Anti-Kinetic Screen Reinforcer II,343,Rig,6,"59,217","59,217","59,217","15,100"
Anti-Kinetic Screen Reinforcer III,344,Rig,8,"200,519","200,519","200,519","31,500"
Anti-Thermal Screen Reinforcer I,345,Rig,4,"23,151","23,151","23,151","8,200"
Anti-Thermal Screen Reinforcer II,346,Rig,6,"59,217","59,217","59,217","15,100"
Anti-Thermal Screen Reinforcer III,347,Rig,8,"200,519","200,519","200,519","31,500"
Nanobot Accelerator I,348,Rig,4,"10,849","10,849","10,849","2,400"
Nanobot Accelerator II,349,Rig,6,"32,217","32,217","32,217","4,500"
Nanobot Accelerator III,350,Rig,8,"95,396","95,396","95,396","9,600"
Auxiliary Nano Pump I,351,Rig,4,"16,575","16,575","16,575","4,100"
Auxiliary Nano Pump II,352,Rig,6,"47,349","47,349","47,349","7,700"
Auxiliary Nano Pump III,353,Rig,8,"175,500","175,500","175,500","15,900"
Repair Augmentor I,354,Rig,4,"14,934","14,934","14,934","3,700"
Repair Augmentor II,355,Rig,6,"40,745","40,745","40,745","6,700"
Repair Augmentor III,356,Rig,8,"171,811","171,811","171,811","13,600"
Trimark Armor Pump I,357,Rig,4,"24,462","24,462","24,462","5,900"
Trimark Armor Pump II,358,Rig,6,"62,160","62,160","62,160","10,700"
Trimark Armor Pump III,359,Rig,8,"234,802","234,802","234,802","21,700"
Anti-Explosive Pump I,360,Rig,4,"16,575","16,575","16,575","4,100"
Anti-Explosive Pump II,361,Rig,6,"47,189","47,189","47,189","7,600"
Anti-Explosive Pump III,362,Rig,8,"175,340","175,340","175,340","15,800"
Anti-EM Pump I,363,Rig,4,"16,575","16,575","16,575","4,100"
Anti-EM Pump II,364,Rig,6,"47,189","47,189","47,189","7,600"
Anti-EM Pump III,365,Rig,8,"175,340","175,340","175,340","15,800"
Anti-Kinetic Pump I,366,Rig,4,"16,575","16,575","16,575","4,100"
Anti-Kinetic Pump II,367,Rig,6,"47,189","47,189","47,189","7,600"
Anti-Kinetic Pump III,368,Rig,8,"175,340","175,340","175,340","15,800"
Anti-Thermal Pump I,369,Rig,4,"16,575","16,575","16,575","4,100"
Anti-Thermal Pump II,370,Rig,6,"47,189","47,189","47,189","7,600"
Anti-Thermal Pump III,371,Rig,8,"175,340","175,340","175,340","15,800"
Dynamic Fuel Valve I,372,Rig,4,"14,557","14,557","14,557","4,400"
Dynamic Fuel Valve II,373,Rig,6,"38,311","38,311","38,311","8,300"
Dynamic Fuel Valve III,374,Rig,8,"118,226","118,226","118,226","17,600"
Auxiliary Thrusters I,375,Rig,4,"32,962","32,962","32,962","11,200"
Auxiliary Thrusters II,376,Rig,6,"76,434","76,434","76,434","19,600"
Auxiliary Thrusters III,377,Rig,8,"262,226","262,226","262,226","38,800"
Polycarbon Engine Housing I,378,Rig,4,"28,151","28,151","28,151","8,200"
Polycarbon Engine Housing II,379,Rig,6,"58,736","58,736","58,736","14,800"
Polycarbon Engine Housing III,380,Rig,8,"197,953","197,953","197,953","29,900"
Cargohold Optimization I,381,Rig,4,"28,632","28,632","28,632","8,500"
Cargohold Optimization II,382,Rig,6,"65,019","65,019","65,019","15,600"
Cargohold Optimization III,383,Rig,8,"200,840","200,840","200,840","31,700"
Higgs Anchor I,384,Rig,4,"37,962","37,962","37,962","11,200"
Higgs Anchor II,385,Rig,6,"88,840","88,840","88,840","21,100"
Higgs Anchor III,386,Rig,8,"320,887","320,887","320,887","44,200"
Warp Core Optimizer I,387,Rig,4,"29,755","29,755","29,755","9,200"
Warp Core Optimizer II,388,Rig,6,"66,623","66,623","66,623","16,600"
Warp Core Optimizer III,389,Rig,8,"203,245","203,245","203,245","33,200"
Hyperspatial Velocity Optimizer I,390,Rig,4,"32,962","32,962","32,962","11,200"
Hyperspatial Velocity Optimizer II,391,Rig,6,"76,915","76,915","76,915","19,900"
Hyperspatial Velocity Optimizer III,392,Rig,8,"263,830","263,830","263,830","39,800"
Semiconductor Memory Cell I,393,Rig,4,"29,915","29,915","29,915","9,300"
Semiconductor Memory Cell II,394,Rig,6,"71,434","71,434","71,434","19,600"
Semiconductor Memory Cell III,395,Rig,8,"221,528","221,528","221,528","44,600"
Capacitor Control Circuit I,396,Rig,4,"31,840","31,840","31,840","10,500"
Capacitor Control Circuit II,397,Rig,6,"76,406","76,406","76,406","22,700"
Capacitor Control Circuit III,398,Rig,8,"234,358","234,358","234,358","52,600"
Ancillary Powergrid Router I,399,Rig,4,"20,189","20,189","20,189","7,600"
Ancillary Powergrid Router II,400,Rig,6,"57,585","57,585","57,585","17,200"
Ancillary Powergrid Router III,401,Rig,8,"165,434","165,434","165,434","40,800"
Targeting System Subcontroller I,402,Rig,4,"18,887","18,887","18,887","7,100"
Targeting System Subcontroller II,403,Rig,6,"51,302","51,302","51,302","16,400"
Targeting System Subcontroller III,404,Rig,8,"153,028","153,028","153,028","39,300"
Gravity Capacitor Upgrade I,405,Rig,4,"15,000","15,000","15,000","5,300"
Gravity Capacitor Upgrade II,406,Rig,6,"40,075","40,075","40,075","9,400"
Gravity Capacitor Upgrade III,407,Rig,8,"110,151","110,151","110,151","18,800"
Emission Scope Sharpener I,408,Rig,4,"10,453","10,453","10,453","3,400"
Emission Scope Sharpener II,409,Rig,6,"29,943","29,943","29,943","6,200"
Emission Scope Sharpener III,410,Rig,8,"80,528","80,528","80,528","12,800"
Miner Efficiency Upgrade I,411,Rig,4,"31,679","31,679","31,679","10,400"
Miner Efficiency Upgrade II,412,Rig,6,"80,443","80,443","80,443","22,100"
Miner Efficiency Upgrade III,413,Rig,8,"280,670","280,670","280,670","50,300"
Miner Circulation Accelerator I,414,Rig,4,"31,519","31,519","31,519","10,300"
Miner Circulation Accelerator II,415,Rig,6,"77,208","77,208","77,208","23,200"
Miner Circulation Accelerator III,416,Rig,8,"237,726","237,726","237,726","54,700"
Miner Range Controller I,417,Rig,4,"18,566","18,566","18,566","6,900"
Miner Range Controller II,418,Rig,6,"50,019","50,019","50,019","15,600"
Miner Range Controller III,419,Rig,8,"149,179","149,179","149,179","36,900"
Miner Algid Optimizer I,420,Rig,4,"19,066","19,066","19,066","6,900"
Miner Algid Optimizer II,421,Rig,6,"54,377","54,377","54,377","15,200"
Miner Algid Optimizer III,422,Rig,8,"156,453","156,453","156,453","35,200"
Transverse Bulkhead I,423,Rig,4,"51,783","51,783","51,783","16,700"
Transverse Bulkhead II,424,Rig,6,"116,830","116,830","116,830","29,200"
Transverse Bulkhead III,425,Rig,8,"392,057","392,057","392,057","57,400"
Anti-Explosive Transverse Bulkhead I,426,Rig,4,"31,198","31,198","31,198","10,100"
Anti-Explosive Transverse Bulkhead II,427,Rig,6,"79,028","79,028","79,028","18,100"
Anti-Explosive Transverse Bulkhead III,428,Rig,8,"257,896","257,896","257,896","36,100"
Anti-EM Transverse Bulkhead I,429,Rig,4,"31,198","31,198","31,198","10,100"
Anti-EM Transverse Bulkhead II,430,Rig,6,"79,028","79,028","79,028","18,100"
Anti-EM Transverse Bulkhead III,431,Rig,8,"257,896","257,896","257,896","36,100"
Anti-Kinetic Transverse Bulkhead I,432,Rig,4,"31,198","31,198","31,198","10,100"
Anti-Kinetic Transverse Bulkhead II,433,Rig,6,"79,028","79,028","79,028","18,100"
Anti-Kinetic Transverse Bulkhead III,434,Rig,8,"257,896","257,896","257,896","36,100"
Anti-Thermal Transverse Bulkhead I,435,Rig,4,"31,198","31,198","31,198","10,100"
Anti-Thermal Transverse Bulkhead II,436,Rig,6,"79,028","79,028","79,028","18,100"
Anti-Thermal Transverse Bulkhead III,437,Rig,8,"257,896","257,896","257,896","36,100"
Sentry Damage Augmentor I,438,Rig,4,"31,840","31,840","31,840","10,500"
Sentry Damage Augmentor II,439,Rig,6,"62,906","62,906","62,906","17,400"
Sentry Damage Augmentor III,440,Rig,8,"202,123","202,123","202,123","32,500"
Drone Scope Chip I,441,Rig,4,"23,292","23,292","23,292","8,600"
Drone Scope Chip II,442,Rig,6,"58,094","58,094","58,094","14,400"
Drone Scope Chip III,443,Rig,8,"192,981","192,981","192,981","26,800"
Drone Speed Augmentor I,444,Rig,4,"32,802","32,802","32,802","11,100"
Drone Speed Augmentor II,445,Rig,6,"69,509","69,509","69,509","18,400"
Drone Speed Augmentor III,446,Rig,8,"205,330","205,330","205,330","34,500"
Drone Control Range Augmentor I,447,Rig,4,"32,802","32,802","32,802","11,100"
Drone Control Range Augmentor II,448,Rig,6,"69,509","69,509","69,509","18,400"
Drone Control Range Augmentor III,449,Rig,8,"205,330","205,330","205,330","34,500"
MK3 Acolyte,450,Drone,3,"786,542","730,718","680,170","117,000"
MK5 Acolyte,451,Drone,5,"2,764,155","2,554,039","2,363,783","374,700"
MK7 Acolyte,452,Drone,7,"5,939,585","5,502,063","5,105,893","751,400"
MK9 Acolyte,453,Drone,9,"9,212,745","8,608,476","8,061,329","1,207,000"
MK3 Hornet,454,Drone,3,"883,336","824,804","771,804","166,800"
MK5 Hornet,455,Drone,5,"2,851,431","2,666,047","2,498,185","525,500"
MK7 Hornet,456,Drone,7,"6,270,535","5,867,974","5,503,460","1,094,000"
MK9 Hornet,457,Drone,9,"10,483,696","9,805,024","9,190,508","1,709,500"
MK3 Hobgoblin,458,Drone,3,"932,979","861,859","797,461","148,700"
MK5 Hobgoblin,459,Drone,5,"2,899,934","2,692,882","2,505,399","471,300"
MK7 Hobgoblin,460,Drone,7,"6,077,903","5,667,365","5,295,627","942,800"
MK9 Hobgoblin,461,Drone,9,"10,023,890","9,357,735","8,754,552","1,471,600"
MK3 Warrior,462,Drone,3,"861,335","801,781","747,856","149,100"
MK5 Warrior,463,Drone,5,"2,926,241","2,718,701","2,530,776","485,800"
MK7 Warrior,464,Drone,7,"5,828,499","5,471,362","5,147,980","995,400"
MK9 Warrior,465,Drone,9,"9,868,182","9,246,408","8,683,409","1,547,500"
MK5 Infiltrator,466,Drone,5,"2,706,040","2,519,285","2,350,181","429,500"
MK7 Infiltrator,467,Drone,7,"6,012,747","5,607,219","5,240,019","921,700"
MK9 Infiltrator,468,Drone,9,"9,950,656","9,283,588","8,679,576","1,422,400"
MK5 Vespa,469,Drone,5,"2,677,157","2,496,512","2,332,940","435,300"
MK7 Vespa,470,Drone,7,"6,091,648","5,674,086","5,295,989","924,000"
MK9 Vespa,471,Drone,9,"9,526,145","8,932,578","8,395,122","1,444,100"
MK5 Hammerhead,472,Drone,5,"2,809,055","2,617,570","2,444,183","475,300"
MK7 Hammerhead,473,Drone,7,"6,269,591","5,840,699","5,452,343","990,800"
MK9 Hammerhead,474,Drone,9,"9,887,752","9,263,566","8,698,383","1,550,300"
MK5 Valkyrie,475,Drone,5,"2,984,025","2,778,914","2,593,189","531,300"
MK7 Valkyrie,476,Drone,7,"6,445,971","6,017,418","5,629,370","1,102,100"
MK9 Valkyrie,477,Drone,9,"10,705,706","9,996,298","9,353,948","1,728,200"
MK7 Praetor,478,Drone,7,"14,632,349","13,687,726","12,832,381","2,324,800"
MK9 Praetor,479,Drone,9,"23,638,081","22,110,180","20,726,706","3,796,100"
MK7 Wasp,480,Drone,7,"15,026,506","13,977,453","13,027,548","2,163,600"
MK9 Wasp,481,Drone,9,"23,949,315","22,266,959","20,743,630","3,388,200"
MK7 Ogre,482,Drone,7,"14,186,547","13,185,822","12,279,678","1,828,200"
MK9 Ogre,483,Drone,9,"21,646,448","20,163,291","18,820,341","2,728,500"
MK7 Berserker,484,Drone,7,"14,487,076","13,562,668","12,725,629","2,313,000"
MK9 Berserker,485,Drone,9,"23,269,977","21,779,804","20,430,493","3,713,600"
MK7 Curator,486,Drone,7,"18,947,496","17,716,787","16,602,395","3,277,000"
MK9 Curator,487,Drone,9,"31,401,890","29,310,250","27,416,322","5,193,000"
MK7 Warden,488,Drone,7,"18,628,501","17,364,691","16,220,327","2,949,100"
MK9 Warden,489,Drone,9,"28,859,820","27,040,126","25,392,456","4,667,500"
MK7 Guard,490,Drone,7,"18,564,367","17,231,015","16,023,681","2,638,100"
MK9 Guard,491,Drone,9,"27,576,620","25,846,711","24,280,329","4,217,500"
MK7 Bouncer,492,Drone,7,"18,406,537","17,158,098","16,027,652","2,870,600"
MK9 Bouncer,493,Drone,9,"29,002,808","27,096,468","25,370,329","4,419,200"
Capsuleer Outpost,494,Structure,6,"450,000,000","450,000,000","450,000,000",0
Standard Standup Small Missile Launcher,495,Structure,6,"64,251,644","59,467,470","55,135,527","15,493,900"
Standard Standup Medium Missile Launcher,496,Structure,6,"61,907,779","57,442,060","53,398,488","15,273,200"
Standard Standup Large Missile Launcher,497,Structure,6,"59,952,856","55,873,661","52,180,086","15,560,500"
Standard Standup Stasis Webifier,498,Structure,6,"88,871,660","82,350,137","76,445,100","20,644,300"
Standard Standup Warp Disruptor,499,Structure,6,"95,757,648","88,988,240","82,858,711","23,972,500"
Standard Standup Energy Neutralizer,500,Structure,6,"96,036,012","89,511,968","83,604,635","25,101,900"
Industry Service Center,501,Structure,6,"324,029,664","301,857,090","281,780,560","84,449,800"
Structure Construction Parts,502,Structure,6,"128,287,194","112,951,001","99,064,577","7,748,900"
Structure Hangar Array,503,Structure,6,"138,156,513","121,486,145","106,391,655","8,703,100"
Structure Storage Bay,504,Structure,6,"132,176,209","116,075,725","101,497,176","7,196,500"
Structure Laboratory,505,Structure,6,"145,729,361","127,574,077","111,134,950","7,639,300"
Structure Factory,506,Structure,6,"141,774,912","124,131,797","108,156,494","7,168,500"
Structure Repair Facility,507,Structure,6,"137,642,990","120,930,423","105,797,691","8,219,000"
Structure Reprocessing Plant,508,Structure,6,"139,631,984","122,381,120","106,760,957","7,361,600"
Structure Docking Bay,509,Structure,6,"139,203,245","122,015,777","106,452,943","7,342,600"
Structure Market Network,510,Structure,6,"124,839,883","110,444,329","97,409,561","9,266,500"
Structure Medical Center,511,Structure,6,"137,214,504","120,567,040","105,493,289","8,205,000"
Structure Office Center,512,Structure,6,"134,432,940","117,932,784","102,992,442","7,044,300"
Structure Mission Network,513,Structure,6,"135,499,342","119,132,604","104,313,022","8,230,000"
Structure Electromagnetic Sensor,514,Structure,6,"135,152,398","118,781,642","103,958,427","7,997,900"
Structure Acceleration Coils,515,Structure,6,"117,894,076","104,123,585","91,654,873","7,370,300"
Structure Advertisement Nexus,516,Structure,6,"130,368,422","114,908,801","100,910,614","8,565,600"
